subj,trial,condition,target,respond,error,trial_duration,fb,fb_true,fb_offset,fb_time,conf
Test_08,71,2,-278.2888,340.61579999999987,-62.326999999999884,58.99166666666667,9.186607,144.1239,-134.93729299999998,23.45,0.0940029
Test_08,72,2,96.92327999999998,-141.35158,-44.428300000000036,47.525,-1.467995,12.15086,-13.618855,13.25,0.9829938
Test_08,73,1,21.82959999999997,-95.9744,-74.14480000000003,27.958333333333332,-52.51377,156.3234,-208.83717,4.883333333333334,0.9759939
Test_08,74,3,296.668,-337.2095999999999,-40.5415999999999,73.36666666666666,0.0,284.5402,-284.5402,26.775,0.5479994
Test_08,75,1,49.45700000000002,-79.54230000000001,-30.08529999999999,35.5,14.97401,79.22354,-64.24953,8.158333333333333,0.5
Test_08,76,1,-253.3616,315.03909999999996,-61.67749999999995,65.85833333333333,-1.996731,241.7652,-243.761931,19.233333333333334,0.3850015
Test_08,77,1,-243.73199999999994,301.6469,-57.914900000000074,51.233333333333334,-26.1175,113.8322,-139.9497,18.2,0.4050012
Test_08,78,2,295.2301,-318.28959999999995,-23.059499999999957,69.1,7.811529,344.0338,-336.222271,26.583333333333332,0.5279996
Test_08,79,1,129.62772999999996,-188.43222,-58.804490000000044,50.733333333333334,-34.49738,157.8076,-192.30498,14.225,0.4670004
Test_08,80,1,-274.515,329.64790000000005,-55.13290000000006,55.40833333333333,-5.403835,290.8641,-296.267935,21.341666666666665,0.3290022
Test_08,81,1,-269.523,378.6887,-109.16569999999996,69.01666666666667,32.69547,92.04618,-59.35071000000001,21.275,0.4880002
Test_08,82,1,-302.08910000000003,415.99512999999985,-113.90602999999982,89.45833333333333,18.80816,13.06748,5.740680000000001,21.208333333333332,0.6109986
Test_08,83,1,-284.3710899999999,396.7093,-112.33821000000006,68.35833333333333,-12.60688,299.3108,-311.91767999999996,22.825,0.0920029
Test_08,84,1,80.66120000000001,-144.25813,-63.596929999999986,33.09166666666667,-49.54629,226.6507,-276.19699,8.433333333333334,0.7709965
Test_08,85,1,278.1674,-313.68468999999993,-35.517289999999946,60.78333333333333,24.51091,5.090878,19.420032,25.266666666666666,0.422001
Test_08,86,2,-66.35256999999999,119.83090000000004,-53.47833000000006,34.88333333333333,18.82594,154.4088,-135.58286,8.725,0.7809964
Test_08,87,1,21.984799999999993,-61.605779999999996,-39.62098,29.666666666666668,8.705453,13.5307,-4.825246999999999,4.825,0.9379944
Test_08,88,1,-155.69697999999994,229.06759999999997,-73.37062000000003,40.5,10.38784,176.6053,-166.21746,12.366666666666667,0.807996
Test_08,89,3,322.2687,-313.48789999999997,8.780800000000056,53.083333333333336,0.0,60.5951,-60.5951,23.191666666666666,0.5299996
Test_08,90,2,-353.8168,459.29870000000005,-105.48190000000005,86.05,8.134789,261.7798,-253.645011,26.758333333333333,0.8439956
Test_08,91,1,-324.32630000000006,381.69140000000004,-57.365099999999984,63.35,36.71897,172.4984,-135.77943,24.075,0.7949962
