subj,trial,condition,target,fb_true,respond,error,trial_duration,fb_time,fb,conf,fb_offset,viewAmount
Test_02,188,FB,-27.5243,62.22269,143.8808,116.3565,16,3.083333333,0,0.8489955,-62.22269,0
Test_02,189,FB,27.5132,257.9459,-121.08513,93.57193,18,5.658333333,2.493356,1,-255.452544,0
Test_02,190,FB,-354.3072,21.05674,434.4627,80.1555,47.13333333,20.10833333,21.26322,0.5,0.20648,0
Test_02,191,noFB,-301.67137,238.4627,389.3622,87.69083,35.65,35.65,0,0.6169985,-238.4627,0
Test_02,192,noFB,-244.87201,86.79139,322.96781,78.0958,29.68333333,29.68333333,0,0.8989949,-86.79139,0
Test_02,193,noFB,88.93429,265.1899,-180.7417,91.80741,20.36666667,20.36666667,0,0.9449943,-265.1899,0
Test_02,194,noFB,280.4025,3.827661,-374.6608,94.2583,37.10833333,37.10833333,0,0.9819938,-3.827661,0
Test_02,195,noFB,-256.3398,129.6081,365.6362,109.2964,35.15833333,35.15833333,0,0.9459943,-129.6081,0
Test_02,196,noFB,185.52776,350.6368,-284.7009,99.17314,31.4,31.4,0,1,-350.6368,0
Test_02,197,noFB,-175.55195,108.9131,292.6637,117.11175,33.55,33.55,0,0.8009961,-108.9131,0
Test_02,198,noFB,-132.255,14.51875,222.70608,90.45108,23.66666667,23.66666667,0,0.8029961,-14.51875,0
Test_02,199,noFB,122.63398,209.1306,-224.49471,101.86073,22.775,22.775,0,0.8659953,-209.1306,0
Test_02,200,noFB,-191.3102,308.4467,298.7046,107.3944,30.225,30.225,0,0.9139947,-308.4467,0
Test_04,1,noFB,58.7329,89.22012,-113.7202,54.9873,42.67133333,42.67133333,0,0.9859937,-89.22012,0
Test_04,2,noFB,-7.7732,335.7219,27.4406,19.6674,35.82383333,35.82383333,0,0.4370008,-335.7219,0
Test_04,3,noFB,107.6244,152.9054,-140.778754,33.154354,60.34941667,60.34941667,0,0.7699965,-152.9054,0
Test_04,4,noFB,-356.9777,315.795,4.2009,-352.7768,110.695,110.695,0,0.9349944,-315.795,0
Test_04,5,noFB,48.9253,136.7396,-78.9888,30.0635,44.89833333,44.89833333,0,0.8159959,-136.7396,0
Test_04,6,noFB,-311.4157,300.5841,321.9212,10.5055,104.7883333,104.7883333,0,0.7909963,-300.5841,0
Test_04,7,noFB,61.2004,128.4209,-97.0623,35.8619,36.5525,36.5525,0,0.7439969,-128.4209,0
Test_04,8,noFB,349.3621,292.9194,5.5485,-354.9106,116.715,116.715,0,0.7369969,-292.9194,0
Test_04,9,noFB,-231.0629,112.2593,233.6427,2.5798,88.12416667,88.12416667,0,0.6289983,-112.2593,0
Test_04,10,noFB,-84.116,292.634,47.1575,-36.9585,47.30083333,47.30083333,0,0.6879976,-292.634,0
Test_04,11,FB,-330.6607,117.4736,382.768,52.1073,85.05916667,29.725,10.15901,0.7919962,-107.31459,0
Test_04,12,FB,-213.36716,347.5937,228.90088,15.53372,70.62166667,26.75916667,-21.54751,0.7919962,-369.14121,0
Test_04,13,FB,-89.6893,168.7118,91.0349,1.3456,68.67916667,8.71,-16.04746,0.8159959,-184.75926,0
Test_04,14,FB,322.8471,347.3573,-312.1975,-10.6496,115.6,42.6725,39.36168,0.806996,-307.99562,0
Test_04,15,FB,-40.2278,184.2316,122.3517,82.1239,82.19833333,14.73166667,51.09329,0.7709965,-133.13831,0
Test_04,16,FB,58.81186,75.02926,-138.43041,79.61855,77.19416667,14.26583333,-26.46826,0.7949962,-101.49752,0
Test_04,17,FB,140.15598,201.3535,-179.63279,39.47681,83.10583333,28.3375,-8.064701,0.6599979,-209.418201,0
Test_04,18,FB,-258.145807,353.1486,220.3154,-37.830407,83.62333333,33.1875,-27.47083,0.8379956,-380.61943,0
Test_04,19,FB,4.8616,130.8163,-88.0874,83.2258,49.06333333,1.025833333,-27.7078,0.8589954,-158.5241,0
Test_04,20,FB,-130.6121,275.3793,134.0534,3.4413,46.65583333,16.95166667,-59.60029,0.890995,-334.97959,0
Test_04,21,FB,20.9571,32.88524,-48.3512,27.3941,46.37416667,11.02583333,16.20321,0.9089947,-16.68203,0
Test_04,22,FB,-329.6957,213.6005,361.3882,31.6925,105.7983333,26.9425,12.56673,0.9469942,-201.03377,0
Test_04,23,FB,188.9871,55.3355,-215.7092,26.7221,95.24083333,33.9725,11.44996,0.8789951,-43.88554,0
Test_04,24,FB,13.1191,221.4264,-94.11525,80.99615,59.05,9.173333333,-32.63063,0.7259971,-254.05703,0
Test_04,25,FB,19.0165,0.837883,-54.51918,35.50268,65.8125,6.776666667,8.881096,0.8449956,8.043213,0
Test_04,26,FB,54.75845,181.1427,-117.03761,62.27916,67.0125,13.80583333,-23.35032,0.8529955,-204.49302,0
Test_04,27,FB,-221.578,321.2417,0.191731,-221.386269,31.46916667,31.46916667,12.11753,0.7399969,-309.12417,0
Test_04,28,FB,66.175285,92.80313,-108.44682,42.271535,38.41,8.9875,0,0.9909937,-92.80313,0
Test_04,29,FB,-96.9643,257.9121,118.8934,21.9291,64.32583333,22.685,-24.66484,0.9850002,-282.57694,0
